epoch:136	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:137	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:138	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:139	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:140	Accuracy:98.76190476190476	Average precision:98.73385688981207	Average recall:98.716587277794
epoch:141	Accuracy:98.85714285714286	Average precision:98.84103095341216	Average recall:98.80561627293159
epoch:142	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:143	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:144	Accuracy:98.80952380952381	Average precision:98.79073618949312	Average recall:98.7570021561917
epoch:145	Accuracy:98.85714285714286	Average precision:98.8672208509872	Average recall:98.80561627293159
epoch:146	Accuracy:98.80952380952381	Average precision:98.79302848744521	Average recall:98.77575887542716
epoch:147	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:148	Accuracy:98.76190476190476	Average precision:98.74494390758805	Average recall:98.716587277794
epoch:149	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:150	Accuracy:98.76190476190476	Average precision:98.7663081770878	Average recall:98.68727307766531
epoch:151	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:152	Accuracy:98.76190476190476	Average precision:98.76867032188153	Average recall:98.68727307766531
epoch:153	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:154	Accuracy:98.85714285714286	Average precision:98.84104593114064	Average recall:98.81742554209382
epoch:155	Accuracy:98.71428571428571	Average precision:98.70522572414563	Average recall:98.63379714183644
epoch:156	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:157	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:158	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:159	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:160	Accuracy:98.80952380952381	Average precision:98.77927735802021	Average recall:98.75825394446068
epoch:161	Accuracy:98.80952380952381	Average precision:98.79248637203969	Average recall:98.74644467529846
epoch:162	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:163	Accuracy:98.80952380952381	Average precision:98.81410428425242	Average recall:98.7407490134942
epoch:164	Accuracy:98.9047619047619	Average precision:98.90538597105594	Average recall:98.841587277794
epoch:165	Accuracy:98.76190476190476	Average precision:98.7663081770878	Average recall:98.68727307766531
epoch:166	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:167	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:168	Accuracy:98.85714285714286	Average precision:98.84420953029013	Average recall:98.79992061112735
epoch:169	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:170	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
